# Client names that misspell a much more common one; built by week04_names_check.py --build-merges. Delete a row to undo a merge.
variant,target,variant_filings,target_filings,score
COMMON WEALTH OF MASSACHUSETTS,COMMONWEALTH OF MASSACHUSETTS,2,89,98.3
AMERICAN TIRES DISTRIBUTORS,AMERICAN TIRE DISTRIBUTORS,1,89,98.1
AMERICAN TIRE DISTRIBUTERS,AMERICAN TIRE DISTRIBUTORS,1,89,96.2
AMERICAN TYRE DISTRIBUTORS,AMERICAN TIRE DISTRIBUTORS,1,89,96.2
COMMONWEALTH OF MASSACHUSSETTS,COMMONWEALTH OF MASSACHUSETTS,1,89,98.3
COMMOMWEALTH OF MASSACHUSETTS,COMMONWEALTH OF MASSACHUSETTS,1,89,96.6
COMMONWEALTH OF MASSACHUSETSS,COMMONWEALTH OF MASSACHUSETTS,1,89,96.6
COMMONWEALTH OF MASSACHUSSETS,COMMONWEALTH OF MASSACHUSETTS,1,89,96.6
CLEVELAND CLINIC HILLCREST HOSPTIAL,CLEVELAND CLINIC HILLCREST HOSPITAL,4,88,97.1
SIEMENS HELATHCARE DIAGNOSTICS,SIEMENS HEALTHCARE DIAGNOSTICS,2,88,96.7
MARSH AND MECLENNAN COMPANIES,MARSH AND MCLENNAN COMPANIES,1,88,98.2
MARSH AND MCCLENNAN COMPANIES,MARSH AND MCLENNAN COMPANIES,1,88,98.2
SIEMENS HEALTHCARE DIGNOSTICS,SIEMENS HEALTHCARE DIAGNOSTICS,1,88,98.3
SIEMENS HEALTHCARE DIAGNOSTIC,SIEMENS HEALTHCARE DIAGNOSTICS,1,88,98.3
VETERAN S AFFAIRS MEDICAL CENTER,VETERANS AFFAIRS MEDICAL CENTER,5,87,98.4
UNITED SERVIVCES AUTOMOBILE ASSOCIATION,UNITED SERVICE AUTOMOBILE ASSOCIATION,4,87,97.4
BRIGHT HOUSE FINANCIAL,BRIGHTHOUSE FINANCIAL,2,87,97.7
INSURANCE AUTO AUCTION,INSURANCE AUTO AUCTIONS,2,87,97.8
UNITED SERVICES AUTOMOBILE ASOCIATION,UNITED SERVICE AUTOMOBILE ASSOCIATION,2,87,97.3
CLEVELAND CLINIC FAIRVIEW HOSPTIAL,CLEVELAND CLINIC FAIRVIEW HOSPITAL,2,87,97.1
VETERANS AFFAIR MEDICAL CENTER,VETERANS AFFAIRS MEDICAL CENTER,1,87,98.4
VETERAN AFFAIRS MEDICAL CENTER,VETERANS AFFAIRS MEDICAL CENTER,1,87,98.4
