# Client names that misspell a much more common one; built by week04_names_check.py --build-merges. Delete a row to undo a merge.
variant,target,variant_filings,target_filings,score
FEDERAL HOME LOAN MORTGAGE CORPORATION FREDDIEMAC,FEDERAL HOME LOAN MORTGAGE CORPORATION FREDDIE MAC,1,41,99.0
FEDERAL HOME LOAN MORTGAGE CORPORATION FREDDIE,FEDERAL HOME LOAN MORTGAGE CORPORATION FREDDIE MAC,1,41,95.8
TIAA TEACHERS INSURANCE AND ANNUITYASSOCIATION,TIAA TEACHERS INSURANCE AND ANNUITY ASSOCIATION,1,41,98.9
COMMON WEALTH OF KENTUCKY CABINET FOR HEALTH AND FAMILY SERVICES,COMMONWEALTH OF KENTUCKY CABINET FOR HEALTH AND FAMILY SERVICES,1,41,99.2
COMMONWEALTH OF KENTUCKY CABINET FOR HEALTH AND FAMILY SERVICES OATS,COMMONWEALTH OF KENTUCKY CABINET FOR HEALTH AND FAMILY SERVICES,1,41,96.2
COMMONWEALTH OF KENTUCKY CHFS CABINET FOR HEALTH AND FAMILY SERVICES,COMMONWEALTH OF KENTUCKY CABINET FOR HEALTH AND FAMILY SERVICES,1,41,96.2
COMMONWEALTH OF KY CABINET FOR HEALTH AND FAMILY SERVICES,COMMONWEALTH OF KENTUCKY CABINET FOR HEALTH AND FAMILY SERVICES,1,41,95.0
HUGHES NETWORK SYSTEM,HUGHES NETWORK SYSTEMS,1,41,97.7
UNIVERSITY OF PITTSBURGH MEDICAL CENTRE,UNIVERSITY OF PITTSBURGH MEDICAL CENTER,1,41,97.4
BLUE CROSS AND BLUE SHIELDS OF KANSAS CITY,BLUE CROSS AND BLUE SHIELD OF KANSAS CITY,1,41,98.8
XORIANT CORPORATIONS EAST COAST OFFICE,XORIANT CORPORATION EAST COAST OFFICE,1,41,98.7
WESTINGHOUSE ELECTRICAL,WESTINGHOUSE ELECTRIC,1,41,95.5
NYS DEPARTMENT OF EDUCATION,NYC DEPARTMENT OF EDUCATION,1,41,96.3
PANASONIC AUTOMATIVE,PANASONIC AUTOMOTIVE,1,41,95.0
VERIZON CORPORATE OFFICES,VERIZON CORPORATE OFFICE,1,41,98.0
CATERPILLAR FINANCIAL SERVICE,CATERPILLAR FINANCIAL SERVICES,5,40,98.3
CT DEPARTMENT OF SOCIAL SERVICES,NYC DEPARTMENT OF SOCIAL SERVICES,4,40,95.4
SC DEPARTMENT OF SOCIAL SERVICES,NYC DEPARTMENT OF SOCIAL SERVICES,3,40,95.4
NYS DEPARTMENT OF SOCIAL SERVICES,NYC DEPARTMENT OF SOCIAL SERVICES,2,40,97.0
BARNES AND NOBLE BOOKSELLER,BARNES AND NOBLE BOOKSELLERS,2,40,98.2
TEACHER RETIREMENT SYSTEMS OF TEXAS,TEACHER RETIREMENT SYSTEM OF TEXAS,2,40,98.6
BLUE CROSS AND BLUE SHIELD OF MASSACHUSETT,BLUE CROSS AND BLUE SHIELD OF MASSACHUSETTS,2,40,98.8
DELTA FAUCETS,DELTA FAUCET,2,40,96.0
NY DEPARTMENT OF SOCIAL SERVICES,NYC DEPARTMENT OF SOCIAL SERVICES,1,40,98.5
TEACHER S RETIREMENT SYSTEM OF TEXAS,TEACHER RETIREMENT SYSTEM OF TEXAS,1,40,97.1
ARIZONA DEPARTMENT OF ECONOMIC SECURITY DDD,ARIZONA DEPARTMENT OF ECONOMIC SECURITY,1,40,95.1
BLUE CROSS AND BLUESHIELD OF MASSACHUSETTS,BLUE CROSS AND BLUE SHIELD OF MASSACHUSETTS,1,40,98.8
AGCS ALLIANZ GLOBAL CORPORATE AND SPECIALTTY,AGCS ALLIANZ GLOBAL CORPORATE AND SPECIALTY,1,40,98.9
AGCS ALLIANCE GLOBAL CORPORATE AND SPECIALITY,AGCS ALLIANZ GLOBAL CORPORATE AND SPECIALTY,1,40,95.5
CENTER OF SPECIALIZED MEDICINE,CENTER FOR SPECIALIZED MEDICINE,1,40,95.1
BATHS AND BODY WORKS,BATH AND BODY WORKS,1,40,97.4
SWIFT TECHNOLOGY CENTRE,SWIFT TECHNOLOGY CENTER,4,39,95.7
CHRISTUS ST FRANCIS CABRINI HOSPITAL,CHRISTUS ST FRANCES CABRINI HOSPITAL,3,39,97.2
ONEMAIN FINANCIALS,ONEMAIN FINANCIAL,3,39,97.1
HIGH MARK HEALTH,HIGHMARK HEALTH,2,39,96.8
BAUSH HEALTH,BAUSCH HEALTH,2,39,96.0
MARRIOT VACATION WORLDWIDE,MARRIOTT VACATIONS WORLDWIDE,2,39,96.3
JOHNSON AND JOHNSON MED TECH,JOHNSON AND JOHNSON MEDTECH,1,39,98.2
CT CORPORATION SYSTEMS,CT CORPORATION SYSTEM,1,39,97.7
PANASONIC AUTOMOTIVE SYSTEMSCOMPANY OF AMERICA,PANASONIC AUTOMOTIVE SYSTEMS COMPANY OF AMERICA,1,39,98.9
GULF STATE TOYOTA,GULF STATES TOYOTA,1,39,97.1
MARRIOT VACATIONS WORLDWIDE,MARRIOTT VACATIONS WORLDWIDE,1,39,98.2
WORK FORM HOME,WORK FOR HOME,6,38,96.3
DEPARTMENT OF HEALTH AND HUMAN SERVICES NIH,DEPARTMENT OF HEALTH AND HUMAN SERVICES,4,38,95.1
CLEAN EARTH ENVIRONMENT SOLUTIONS,CLEAN EARTH ENVIRONMENTAL SOLUTIONS,3,38,97.1
GEORGIE DEPARTMENT OF TRANSPORTATION,GEORGIA DEPARTMENT OF TRANSPORTATION,2,38,97.2
DEPARTMENT OF HEALTH AND HUMAN SERVICES HHS,DEPARTMENT OF HEALTH AND HUMAN SERVICES,2,38,95.1
WALGREENS BOOT ALLIANCE,WALGREENS BOOTS ALLIANCE,2,38,97.9
APPLE COMPUTERS,APPLE COMPUTER,2,38,96.6
WORLD FUELS SERVICES,WORLD FUEL SERVICES,1,38,97.4
TEK SYSTEMS GLOBAL SERVICES,TEKSYSTEMS GLOBAL SERVICES,1,38,98.1
TENET BUSINESS SERVICE,TENET BUSINESS SERVICES,1,38,97.8
GEORGIA DEPARTMENT OF TRANSPORATION,GEORGIA DEPARTMENT OF TRANSPORTATION,1,38,98.6
SIGNET JEWELLERS,SIGNET JEWELERS,1,38,96.8
ALIGNMENT HEALTH CARE,ALIGNMENT HEALTHCARE,1,38,97.6
WALGREEN S BOOTS ALLIANCE,WALGREENS BOOTS ALLIANCE,1,38,98.0
WALGREEN BOOTS ALLIANCE,WALGREENS BOOTS ALLIANCE,1,38,97.9
JAMES J PETER S VA MEDICAL CENTER,JAMES J PETERS VA MEDICAL CENTER,3,37,98.5
JOHN H STROGER HOSPITAL OF COOK COUNTY,JOHN H STROGER JR HOSPITAL OF COOK COUNTY,2,37,96.2
JAMES J PETER VA MEDICAL CENTER,JAMES J PETERS VA MEDICAL CENTER,2,37,98.4
AMERICAN BENEFIT CONSULTING,AMERICAN BENEFITS CONSULTING,2,37,98.2
BLUE CROSS BLUE SHIELD MINNESOTA,BLUE CROSS BLUE SHIELD OF MINNESOTA,2,37,95.5
DEPARTMENT OF VETERAN AFFAIRS VA,DEPARTMENT OF VETERAN AFFAIRS,2,37,95.1
DELTA FLIGHTS PRODUCTS,DELTA FLIGHT PRODUCTS,2,37,97.7
CARE FIRST FEPOC,CAREFIRST FEPOC,2,37,96.8
BANK OF NEWYORK MELLON CORPORATION BNYM,BANK OF NEW YORK MELLON CORPORATION BNYM,1,37,98.7
RANDOLPH BROOK FEDERAL CREDIT UNION,RANDOLPH BROOKS FEDERAL CREDIT UNION,1,37,98.6
COMCAST CABLE COMMUNICATIONS MANAGMENT,COMCAST CABLE COMMUNICATION MANAGEMENT,1,37,97.4
COMCAST CABLE COMMUNICATIONS MANAGEMENT LL,COMCAST CABLE COMMUNICATION MANAGEMENT,1,37,95.0
DELTA FLIGHT PRODUCT,DELTA FLIGHT PRODUCTS,1,37,97.6
REPUBLIC NATIONAL DISTRIBUTING COMPANY LLC RNDC,REPUBLIC NATIONAL DISTRIBUTING COMPANY RNDC,1,37,95.6
NYU LANGONE HEATH,NYU LANGONE HEALTH,1,37,97.1
ADVENT HEALTH SEBRING,ADVENTHEALTH SEBRING,1,37,97.6
FOURTH TECNOLOGIES,FOURTH TECHNOLOGIES,1,37,97.3
STATE STREET GLOBAL ADVISOR,STATE STREET GLOBAL ADVISORS,4,36,98.2
PHILLIPS MEDSIZE,PHILLIPS MEDISIZE,3,36,97.0
PHILLIP MEDISIZE,PHILLIPS MEDISIZE,2,36,97.0
MCNEILUS TRUCKS AND MANUFACTURING,MCNEILUS TRUCK AND MANUFACTURING,2,36,98.5
GRAND STRAN REGIONAL MEDICAL CENTER,GRAND STRAND REGIONAL MEDICAL CENTER,2,36,98.6
UNIVERSITY OF PITTSBURG MEDICAL CENTER UPMC,UNIVERSITY OF PITTSBURGH MEDICAL CENTER UPMC,1,36,98.9
UNIVERSITY OF PITTSBURGH MEDICAL CENTRE UPMC,UNIVERSITY OF PITTSBURGH MEDICAL CENTER UPMC,1,36,97.7
ONEMAIN GENRAL SERVICES,ONEMAIN GENERAL SERVICES,1,36,97.9
INGERSOL RAND,INGERSOLL RAND,1,36,96.3
ST VINCENTS MEDICAL CENTER,ST VINCENT S MEDICAL CENTER,1,36,98.1
ST VINCENT MEDICAL CENTER,ST VINCENT S MEDICAL CENTER,1,36,96.2
GRAND STRANS REGIONAL MEDICAL CENTER,GRAND STRAND REGIONAL MEDICAL CENTER,1,36,97.2
ADVENT HEALTH TAMPA,ADVENTHEALTH TAMPA,1,36,97.3
ARCHKEY SOLUTION S,ARCHKEY SOLUTIONS,1,36,97.1
ARCHKEYSOLUTIONS,ARCHKEY SOLUTIONS,1,36,97.0
ARCHKEY SOLUTION,ARCHKEY SOLUTIONS,1,36,97.0
SANTA CLARA VALEY MEDICAL CENTER,SANTA CLARA VALLEY MEDICAL CENTER,1,36,98.5
NORWEGIAN CRUISE LINES,NORWEGIAN CRUISE LINE,6,35,97.7
OCHSNER ST MARY S MEDICAL CENTER,OCHSNER ST MARY MEDICAL CENTER,5,35,96.8
AKSHAR PLASIC,AKSHAR PLASTIC,5,35,96.3
COMCAST TECHNOLOGY CENTRE,COMCAST TECHNOLOGY CENTER,3,35,96.0
RED MANE TECHNOLOGY,REDMANE TECHNOLOGY,2,35,97.3
AKSHAR PLASTICS,AKSHAR PLASTIC,2,35,96.6
HORIZON BLUE CROSS BLUE SHILED,HORIZON BLUE CROSS BLUE SHIELD,1,35,96.7
HORIZON BLUECROSS BLUESHIELD,HORIZON BLUE CROSS BLUE SHIELD,1,35,96.6
MARELLI NORTH AMERICAN,MARELLI NORTH AMERICA,1,35,97.7
CIGNA EXPRESS SCRIPT,CIGNA EXPRESS SCRIPTS,1,35,97.6
BLUE CROSS BLUE SHIELD OF MICHIGAN BCBS MI,BLUE CROSS BLUE SHIELD OF MICHIGAN BCBSM,1,35,97.6
BLUE CROSS BLUE SHIELD OF MICHIGAN BSBSM,BLUE CROSS BLUE SHIELD OF MICHIGAN BCBSM,1,35,97.5
BLUE CROSS BLUE SHIELD MICHIGAN BCBSM,BLUE CROSS BLUE SHIELD OF MICHIGAN BCBSM,1,35,96.1
BLUE CROSS AND BLUE SHIELD OF MICHIGAN BCBSM,BLUE CROSS BLUE SHIELD OF MICHIGAN BCBSM,1,35,95.2
NORTON LIFELOCK,NORTONLIFELOCK,1,35,96.6
LABORATORY CORPORATION OF AMERICA TM,LABORATORY CORPORATION OF AMERICA,1,35,95.7
GWINNETTE COUNTY,GWINNETT COUNTY,1,35,96.8
PEPSI CO FRITO LAY NORTH AMERICA,PEPSICO FRITO LAY NORTH AMERICA,1,35,98.4
CS SOLUTIONS,ACS SOLUTIONS,4,34,96.0
NEW WAVE TELECOM AND TECHNOLOGIES,NEWWAVE TELECOM AND TECHNOLOGIES,3,34,98.5
CONSOLIDATED ELECTRICAL DISTRIBUTOR,CONSOLIDATED ELECTRICAL DISTRIBUTORS,3,34,98.6
CONSOLIDATED ELECTRICAL DISTIBUTORS,CONSOLIDATED ELECTRICAL DISTRIBUTORS,2,34,98.6
RAYMOND JAME,RAYMOND JAMES,2,34,96.0
TRAVEL AND LEISURE CO WYNDHAM DESTINATIONS,TRAVEL LEISURE CO WYNDHAM DESTINATIONS,2,34,95.0
OPTUM UNITEDHEALTH CARE,OPTUM UNITED HEALTHCARE,2,34,95.7
LUCILLE PACKARD CHILDREN S HOSPITAL,LUCILE PACKARD CHILDREN S HOSPITAL,2,34,98.6
NEWWAY TELECOM AND TECHNOLOGIES,NEWWAVE TELECOM AND TECHNOLOGIES,1,34,95.2
CONSOLIDATED ELECTRICAL DISTRIBUTIONS,CONSOLIDATED ELECTRICAL DISTRIBUTORS,1,34,95.9
HARLY DAVIDSON MOTOR,HARLEY DAVIDSON MOTOR,1,34,97.6
NBC UNIVERSLAL MEDIA,NBC UNIVERSAL MEDIA,1,34,97.4
REPULIC FINANCE,REPUBLIC FINANCE,1,34,96.8
CALIFORNIA FRANCHISEE TAX BOARD,CALIFORNIA FRANCHISE TAX BOARD,1,34,98.4
APOLLO INSURANCE SOLUTION,APOLLO INSURANCE SOLUTIONS,1,34,98.0
BLUE CROSS AND BLUE SHIELD OF FLORINDA,BLUE CROSS AND BLUE SHIELD OF FLORIDA,1,34,98.7
UPL UNITED PARCEL SERVICE,UPS UNITED PARCEL SERVICE,1,34,96.0
BLACK AND VEATECH,BLACK AND VEATCH,1,34,97.0
ACS SOLUTION,ACS SOLUTIONS,1,34,96.0
CALTRANS STATE OF CALIFORNIA DEPARTMENT OF TRANSPORTATION,CALTRANS STATE OF CALIFORNIA DEPARTMENT OF TRANSPORTATIONS,1,34,99.1
DIALYSIS CLINICS,DIALYSIS CLINIC,1,34,96.8
CLOVIS COMMUNITY MEDICALCENTER,CLOVIS COMMUNITY MEDICAL CENTER,1,34,98.4
OPTUM UNITED HEALTH CARE,OPTUM UNITED HEALTHCARE,1,34,97.9
LUCLIE PACKARD CHILDREN S HOSPITAL,LUCILE PACKARD CHILDREN S HOSPITAL,1,34,97.1
BLACKHAWK NETWORKS,BLACKHAWK NETWORK,6,33,97.1
INFO CROSSING,INFOCROSSING,4,33,96.0
PRICE WATERHOUSE COOPERS PWC,PRICEWATERHOUSECOOPERS PWC,3,33,96.3
OPTUM SERVICES INC UNITED HEALTH,OPTUM SERVICES INC UNITEDHEALTH,3,33,98.4
CHARTER COMMUNICATION SPECTRUM,CHARTER COMMUNICATIONS SPECTRUM,2,33,98.4
ST FRANCIS HOSPITAL AND MEDICAL CENTER,SAINT FRANCIS HOSPITAL AND MEDICAL CENTER,2,33,96.2
CLEVELAND CLINICS,CLEVELAND CLINIC,2,33,97.0
MODERNA THERAPUTICS,MODERNA THERAPEUTICS,1,33,97.4
MODERNA THERAPUETICS,MODERNA THERAPEUTICS,1,33,95.0
UNITED STATES OF AUTOMOBILE ASSOCIATION,UNITED STATES AUTOMOBILE ASSOCIATION,1,33,96.0
FARM CREDIT FINANCIAL PARTNERS NC,FARM CREDIT FINANCIAL PARTNERS,1,33,95.2
PRICEWATERHOUSE COOPERS PWC,PRICEWATERHOUSECOOPERS PWC,1,33,98.1
WL CORE AND ASSOCIATES,WL GORE AND ASSOCIATES,1,33,95.5
HILTON WORLWIDE,HILTON WORLDWIDE,1,33,96.8
STELLANTIS XFCA,STELLANTIS FCA,1,33,96.6
GENERAL DYNAMICS INFORMATION TECHNOLOGY INC GDIT,GENERAL DYNAMICS INFORMATION TECHNOLOGY GDIT,4,32,95.7
BRONX CARE HEALTH SYSTEM,BRONXCARE HEALTH SYSTEM,3,32,97.9
WOMAN AND INFANTS HOSPITAL OF RHODE ISLAND,WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND,2,32,97.6
BRONXCARE HEALTH SYSTEMS,BRONXCARE HEALTH SYSTEM,2,32,97.9
ORHTO CLINICAL DIAGNOSTICS,ORTHO CLINICAL DIAGNOSTICS,1,32,96.2
CYBER SOFT TECHNOLOGIES,CYBERSOFT TECHNOLOGIES,1,32,97.8
TUSCON ELECTRIC POWER,TUCSON ELECTRIC POWER,1,32,95.2
WOMEN AND INFANTS HOSPIAL OF RHODE ISLAND,WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND,1,32,98.8
UNITED STATES DEPARTMENT OF AGRICULTURE ARS,UNITED STATES DEPARTMENT OF AGRICULTURE,1,32,95.1
GENENRAL DYNAMICS INFORMATION TECHNOLOGY GDIT,GENERAL DYNAMICS INFORMATION TECHNOLOGY GDIT,1,32,98.9
GENERAL DYNAMICS INFORMATION TECHNOLOGIES GDIT,GENERAL DYNAMICS INFORMATION TECHNOLOGY GDIT,1,32,95.6
HAWAII MEDICAL SERVICES ASSOCIATION HMSA,HAWAII MEDICAL SERVICE ASSOCIATION HMSA,1,32,98.7
PUDGET SOUND ENERGY,PUGET SOUND ENERGY,1,32,97.3
COLUMBIA SPORTWEAR,COLUMBIA SPORTSWEAR,1,32,97.3
MULTICARE ALLENMOORE HOSPITAL,MULTICARE ALLENMORE HOSPITAL,1,32,98.2
SOUTH CAROLINA DEPARTMENT OF TRANSPORTATION,NORTH CAROLINA DEPARTMENT OF TRANSPORTATION,4,31,95.3
SAFELITE AUTO GLASS,SAFELITE AUTOGLASS,4,31,97.3
TECHNO PRIDE SOFTWARE SERVICES,TECHNOPRIDE SOFTWARE SERVICES,4,31,98.3
EDUCATION TESTING SERVICES,EDUCATIONAL TESTING SERVICES,3,31,96.3
ARMY AND AIRFORCE EXCHANGE SERVICE AAFES,ARMY AND AIR FORCE EXCHANGE SERVICE AAFES,3,31,98.8
OLHS CLINIC ST VINCENT,OLHS CLINICS ST VINCENT,3,31,97.8
OREILLY AUTO PARTS,O REILLY AUTO PARTS,3,31,97.3
HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA HUP,HOSPITAL OF THE UNIVERSITY OF PENNSYLVANIA,3,31,95.5
QBE INSURANCES,QBE INSURANCE,2,31,96.3
ADVANCED TECHNOLOGY DEVELOPMENT CENTER,AAM ADVANCED TECHNOLOGY DEVELOPMENT CENTER,2,31,95.0
ULTRAGENYX PHARMACEUTICALS,ULTRAGENYX PHARMACEUTICAL,2,31,98.0
NORTH CAROLINA DEPARTMENT OF TRANSPORTION,NORTH CAROLINA DEPARTMENT OF TRANSPORTATION,1,31,97.6
UNILTED HEALTH CARE,UNITED HEALTH CARE,1,31,97.3
UNITEDHEALTH CARE,UNITED HEALTH CARE,1,31,97.1
FEDERAL HOME LOAN BANKS,FEDERAL HOME LOAN BANK,1,31,97.8
RAYMOND JAMES AND ASSOCIATE S,RAYMOND JAMES AND ASSOCIATES,1,31,98.2
NEWYORK CITY DEPARTMENT OF SOCIAL SERVICES,NEW YORK CITY DEPARTMENT OF SOCIAL SERVICES,1,31,98.8
DHS NEW YORK CITY DEPARTMENT OF SOCIAL SERVICES,NEW YORK CITY DEPARTMENT OF SOCIAL SERVICES,1,31,95.6
NEW YORK CITY DEPARTMENT OF SOCIAL SERVICES DSS,NEW YORK CITY DEPARTMENT OF SOCIAL SERVICES,1,31,95.6
YORK CITY DEPARTMENT OF SOCIAL SERVICES,NEW YORK CITY DEPARTMENT OF SOCIAL SERVICES,1,31,95.1
ARMY AND AIRFORCE EXCHANGE SERVICES AAFES,ARMY AND AIR FORCE EXCHANGE SERVICE AAFES,1,31,97.6
ARMY AND AIR FORCE EXHANGE SERVICES AAFES,ARMY AND AIR FORCE EXCHANGE SERVICE AAFES,1,31,97.6
O RELLY AUTO PARTS,O REILLY AUTO PARTS,1,31,97.3
VALLEY HEALTH SYSTEM WINCHESTER MEDICAL CENTER,VALLEYHEALTH SYSTEM WINCHESTER MEDICAL CENTER,1,31,98.9
CALIFORNIA DEPARTMENT OF MOTOR VEHICLES DMV,CALIFORNIA DEPARTMENT OF MOTOR VEHICLES,4,30,95.1
WESCO DISTRIBUTIONS,WESCO DISTRIBUTION,2,30,97.3
ST MICHAEL S MEDICAL CENTER,ST MICHAEL MEDICAL CENTER,2,30,96.2
MASTSON NAVIGATION,MATSON NAVIGATION,2,30,97.1
TOSHIBA GLOBAL COMMERCE SOLUTION,TOSHIBA GLOBAL COMMERCE SOLUTIONS,2,30,98.5
TOSHIBA GLOBAL COMMERCE SOLUTIONS HQ,TOSHIBA GLOBAL COMMERCE SOLUTIONS,2,30,95.7
COMPUTER SHARE,COMPUTERSHARE,2,30,96.3
NATIONAL INSTITUE OF STANDARDS AND TECHNOLOGY NIST,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY NIST,1,30,99.0
NATIONAL LNSTITUTE OF STANDARDS AND TECHNOLOGY NIST,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY NIST,1,30,98.0
US INTERNATIONAL BUSINESS MACHINES CORPORATION IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION IBM,1,30,96.9
ST MICHAELS MEDICAL CENTER,ST MICHAEL MEDICAL CENTER,1,30,98.0
CALIFORNIA DEPARTMENT OF MOTOR VEHICLE,CALIFORNIA DEPARTMENT OF MOTOR VEHICLES,1,30,98.7
MATSON NAVIGATIONS,MATSON NAVIGATION,1,30,97.1
OWENS CORNINGS,OWENS CORNING,1,30,96.3
BIOMARIN PHARMACEUTICALS,BIOMARIN PHARMACEUTICAL,1,30,97.9
CLEAN HARBOR,CLEAN HARBORS,1,30,96.0
CLEAN HABORS,CLEAN HARBORS,1,30,96.0
CLEANHARBORS,CLEAN HARBORS,1,30,96.0
UNITED PARCEL SERVICES AMERICA,UNITED PARCEL SERVICES OF AMERICA,1,30,95.2
JOHN DEER ISG AND FINANCIAL,JOHN DEERE ISG AND FINANCIAL,1,30,98.2
DISNEY PARKS TECHNOLOGY SERVICE,DISNEY PARKS TECHNOLOGY SERVICES,1,30,98.4
AMERICAN TOWERS,AMERICAN TOWER,5,29,96.6
AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA AAA,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,4,29,95.0
DEPARTMENT OF HEALTHCARE SERVICES,DEPARTMENT OF HEALTH CARE SERVICES,3,29,98.5
CA DEPARTMENT OF HEALTH CARE SERVICES,DEPARTMENT OF HEALTH CARE SERVICES,3,29,95.8
WIPRO INFROCROSSING,WIPRO INFOCROSSING,3,29,97.3
AAA AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,AUTOMOBILE CLUB OF SOUTHERN CALIFORNIA,2,29,95.0
TITLE 21 HEALTHCARE,TITLE21 HEALTHCARE,2,29,97.3
STELLANTIS NORTH AMERICAN HEADQUARTERS,STELLANTIS NORTH AMERICA HEADQUARTERS,2,29,98.7
NEW YORK STATE OF INSURANCE FUND,NEW YORK STATE INSURANCE FUND,1,29,95.1
DEPARTMENT OF HEALTH CARE SERVICE,DEPARTMENT OF HEALTH CARE SERVICES,1,29,98.5
DEPARTMENT OF HEALTH CARE SERVICES CA,DEPARTMENT OF HEALTH CARE SERVICES,1,29,95.8
TOYOTA MOTOR ENGINEER AND MANUFACTURING,TOYOTA MOTOR ENGINEERING AND MANUFACTURING,1,29,96.3
NEWTON COUNTYSCHOOL SYSTEM,NEWTON COUNTY SCHOOL SYSTEM,1,29,98.1
THEADYNAMICS REHAB MANAGEMENT,THERADYNAMICS REHAB MANAGEMENT,1,29,98.3
STELLANTIS NORTH AMERICA HEAD QUARTERS,STELLANTIS NORTH AMERICA HEADQUARTERS,1,29,98.7
STELLANTIS NORTH AMERICA HEADQUARTER,STELLANTIS NORTH AMERICA HEADQUARTERS,1,29,98.6
NEW YORK CITY OFFICE OF TECHNOLOGY AND INNOVATIONS OTI,NEW YORK CITY OFFICE OF TECHNOLOGY AND INNOVATION,5,28,95.1
KESTRA FINANCIALS,KESTRA FINANCIAL,4,28,97.0
JAYSON SAFETY SYSTEMS,JOYSON SAFETY SYSTEMS,4,28,95.2
HCSC HEALTHCARE SERVICE,HCSC HEALTH CARE SERVICE,3,28,97.9
YAMAHA MOTORS,YAMAHA MOTOR,3,28,96.0
ICREDIT WORKS,ICREDITWORKS,3,28,96.0
NEXTERA ENERGY FLORIDA POWER AND LIGHT,NEXTERA ENERGY INC FLORIDA POWER AND LIGHT,3,28,95.0
KERING AMERICA S,KERING AMERICAS,2,28,96.8
KERING AMERICA,KERING AMERICAS,2,28,96.6
UNITED STATES POSTAL SERVICES,UNITED STATES POSTAL SERVICE,2,28,98.2
REALOGY SERVICE,REALOGY SERVICES,2,28,96.8
CHICAGO PUBLIC SCHOOL,CHICAGO PUBLIC SCHOOLS,2,28,97.7
HCSC HEALTHCARE SERVICES,HCSC HEALTH CARE SERVICE,2,28,95.8
HILTON DOMESTIC OPERATION,HILTON DOMESTIC OPERATING,2,28,96.0
ALEXION PHARMACEUTICAL,ALEXION PHARMACEUTICALS,2,28,97.8
JOHN HOPKINS HOSPITAL,JOHNS HOPKINS HOSPITAL,2,28,97.7
HARRY S TRUMAN MEMORIAL VETERANS HOSPITAL VA,HARRY S TRUMAN MEMORIAL VETERANS HOSPITAL,2,28,96.5
NEW YORK CITY OFFICE OF TECHNOLOGY AND INNOVATIONS,NEW YORK CITY OFFICE OF TECHNOLOGY AND INNOVATION,2,28,99.0
TDA AMERITRADE,TD AMERITRADE,1,28,96.3
CSX TRANSPORATION,CSX TRANSPORTATION,1,28,97.1
UNITED STATE POSTAL SERVICES,UNITED STATES POSTAL SERVICE,1,28,96.4
BROTHERS INTERNATIONAL,BROTHER INTERNATIONAL,1,28,97.7
KESTRA FINANACIAL,KESTRA FINANCIAL,1,28,97.0
JOHN S HOPKINS HOSPITAL,JOHNS HOPKINS HOSPITAL,1,28,97.8
CONSTELLATION BRAND,CONSTELLATION BRANDS,1,28,97.4
HARRY S TRUMAN MEMORIAL VETERAN S HOSPITAL,HARRY S TRUMAN MEMORIAL VETERANS HOSPITAL,1,28,98.8
RICH PRODUCT,RICH PRODUCTS,1,28,96.0
CLEVELAND CLINIC MAIN CAMPUT,CLEVELAND CLINIC MAIN CAMPUS,1,28,96.4
NEWYORK CITY OFFICE OF TECHNOLOGY AND INNOVATION,NEW YORK CITY OFFICE OF TECHNOLOGY AND INNOVATION,1,28,99.0
JOYSON SAFETY SYSEMS,JOYSON SAFETY SYSTEMS,1,28,97.6
FLORIDA DEPARTMENT OF CHILDREN AND FAMILIES DCF,FLORIDA DEPARTMENT OF CHILDREN AND FAMILIES,5,27,95.6
ACADEMY SPORT OUTDOORS,ACADEMY SPORTS OUTDOORS,3,27,97.8
TEXAS WORKFORCE COMMISION,TEXAS WORKFORCE COMMISSION,3,27,98.0
US DEPARTMENT OF HEALTH AND HUMAN SERVICES HHS,US DEPARTMENT OF HEALTH AND HUMAN SERVICES,3,27,95.5
CLEVELAND CLINIC MEDINA HOSPTIAL,CLEVELAND CLINIC MEDINA HOSPITAL,2,27,96.9
ALBAMA DEPARTMENT OF PUBLIC HEALTH,ALABAMA DEPARTMENT OF PUBLIC HEALTH,2,27,98.6
SIEMENS MEDICAL SOLUTION,SIEMENS MEDICAL SOLUTIONS,2,27,98.0
WESTBEND INSURANCE,WEST BEND INSURANCE,2,27,97.3
UNITED STATES OF AUTOMOBILE ASSOCIATION USAA,UNITED STATES AUTOMOBILE ASSOCIATION USAA,1,27,96.5
ACADEMY SPORTS OUTDOOR,ACADEMY SPORTS OUTDOORS,1,27,97.8
TOKIO MARINE NORTH AMERICAN SERVICES,TOKIO MARINE NORTH AMERICA SERVICES,1,27,98.6
FLORIDA DEPARTMENT OF CHILDREN AND FAMILIES END,FLORIDA DEPARTMENT OF CHILDREN AND FAMILIES,1,27,95.6
SC JOHNSON AND SONS,SC JOHNSON AND SON,1,27,97.3
TEXAS WORK FORCE COMMISSION,TEXAS WORKFORCE COMMISSION,1,27,98.1
UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,US DEPARTMENT OF HEALTH AND HUMAN SERVICES,1,27,95.3
